model,score_column,evaluation_target,split/test_set,threshold,n_samples,predicted_positive_rate,precision,recall,f1,true_positive_rate,false_positive_count,false_negative_count
old_weak_xgboost_token,token_model_score,rugcheck_binary,all_usable_rugcheck,0.7,165259,0.0030921160118359665,0.7025440313111546,0.0026471607541827353,0.005274447578749412,0.820633066882893,152,135258
old_weak_xgboost_token,token_model_score,rugcheck_binary,all_usable_rugcheck,0.9,165259,0.0010649949473251078,0.7840909090909091,0.0010175715433905779,0.0020325053574190128,0.820633066882893,38,135479
graphsage_direct,graphsage_score,rugcheck_binary,all_usable_rugcheck,0.01,165259,0.47721455412413244,0.8112066342057213,0.4717328948435668,0.5965563383236744,0.820633066882893,14889,71642
graphsage_direct,graphsage_score,rugcheck_binary,all_usable_rugcheck,0.02,165259,0.4439758197738096,0.8096250562211228,0.4380203071886268,0.5684824009034012,0.820633066882893,13968,76214
graphsage_direct,graphsage_score,rugcheck_binary,all_usable_rugcheck,0.05,165259,0.42775280015006745,0.8120667704059981,0.4232876409299719,0.5565007488839449,0.820633066882893,13285,78212
graphsage_direct,graphsage_score,rugcheck_binary,all_usable_rugcheck,0.1,165259,0.3695290422911914,0.8104735704460602,0.3649542461490816,0.5032818974502377,0.820633066882893,11574,86123
graphsage_direct,graphsage_score,rugcheck_binary,all_usable_rugcheck,0.2,165259,0.13713625279107342,0.7938490049861007,0.13266035968941947,0.22733131159969674,0.820633066882893,4672,117626
graphsage_direct,graphsage_score,rugcheck_binary,all_usable_rugcheck,0.3,165259,0.08947772889827484,0.7938729965510245,0.0865599445497246,0.15609957181989842,0.820633066882893,3048,123878
graphsage_direct,graphsage_score,rugcheck_binary,all_usable_rugcheck,0.5,165259,0.05183983928258068,0.7762343877670129,0.049035150460487995,0.0922432447428286,0.820633066882893,1917,128967
graphsage_direct,graphsage_score,rugcheck_binary,all_usable_rugcheck,0.7,165259,0.031489964237953756,0.7611452728670254,0.02920725277804405,0.056255814118632876,0.820633066882893,1243,131656
graphsage_direct,graphsage_score,rugcheck_binary,all_usable_rugcheck,0.9,165259,0.012610508353554118,0.6904990403071017,0.010610764137239432,0.020900356569669067,0.820633066882893,645,134178
old_weak_xgboost_token_graphsage,combined_model_score,rugcheck_binary,all_usable_rugcheck,0.01,165259,0.02000496190827731,0.7456140350877193,0.018176187351143295,0.035487284322970276,0.820633066882893,841,133152
old_weak_xgboost_token_graphsage,combined_model_score,rugcheck_binary,all_usable_rugcheck,0.02,165259,0.012029602018649515,0.7117706237424547,0.010433795173171506,0.020566113149958213,0.820633066882893,573,134202
old_weak_xgboost_token_graphsage,combined_model_score,rugcheck_binary,all_usable_rugcheck,0.05,165259,0.006916416049957945,0.6614173228346457,0.005574522368139687,0.011055864287803452,0.820633066882893,387,134861
old_weak_xgboost_token_graphsage,combined_model_score,rugcheck_binary,all_usable_rugcheck,0.1,165259,0.005736450057182967,0.6592827004219409,0.0046085667726022544,0.00915315051440706,0.820633066882893,323,134992
old_weak_xgboost_token_graphsage,combined_model_score,rugcheck_binary,all_usable_rugcheck,0.2,165259,0.004967959384965418,0.656516443361754,0.0039744279846921846,0.007901024641228983,0.820633066882893,282,135078
old_weak_xgboost_token_graphsage,combined_model_score,rugcheck_binary,all_usable_rugcheck,0.3,165259,0.0045201774184764525,0.6680053547523427,0.0036794797112456403,0.007318647150274266,0.820633066882893,248,135118
old_weak_xgboost_token_graphsage,combined_model_score,rugcheck_binary,all_usable_rugcheck,0.5,165259,0.0037758911768799278,0.6682692307692307,0.0030748357506802243,0.006121505273742852,0.820633066882893,207,135200
old_weak_xgboost_token_graphsage,combined_model_score,rugcheck_binary,all_usable_rugcheck,0.7,165259,0.0030860649041807102,0.6862745098039216,0.0025807973926572627,0.005142256863076392,0.820633066882893,160,135267
old_weak_xgboost_token_graphsage,combined_model_score,rugcheck_binary,all_usable_rugcheck,0.9,165259,0.0010044838707725448,0.7650602409638554,0.0009364607681927782,0.0018706318169432108,0.820633066882893,39,135490
rule_baseline,silver_label_score,weak_strict,rugcheck_missing_fallback,0.01,2248,1.0,0.0026690391459074734,1.0,0.005323868677905945,0.0026690391459074734,2242,0
rule_baseline,silver_label_score,weak_strict,rugcheck_missing_fallback,0.02,2248,1.0,0.0026690391459074734,1.0,0.005323868677905945,0.0026690391459074734,2242,0
rule_baseline,silver_label_score,weak_strict,rugcheck_missing_fallback,0.05,2248,1.0,0.0026690391459074734,1.0,0.005323868677905945,0.0026690391459074734,2242,0
rule_baseline,silver_label_score,weak_strict,rugcheck_missing_fallback,0.1,2248,1.0,0.0026690391459074734,1.0,0.005323868677905945,0.0026690391459074734,2242,0
